seventh_statistics:_on_raw_data_after_despiking_cross_wind_correction_angle-of-attack_correction_tilt_correction_time-lag_compensation_and_detrending
filename,date,time,DOY,n_samples,mean(air_t),st_dev(air_t),skw(air_t),kur(air_t),mean(air_p),st_dev(air_p),skw(air_p),kur(air_p),mean(vin_sf),st_dev(vin_sf),skw(vin_sf),kur(vin_sf),mean(co2),st_dev(co2),skw(co2),kur(co2),mean(h2o),st_dev(h2o),skw(h2o),kur(h2o),mean(co2_signal_strength_7500),st_dev(co2_signal_strength_7500),skw(co2_signal_strength_7500),kur(co2_signal_strength_7500),mean(ch4),st_dev(ch4),skw(ch4),kur(ch4),mean(rssi_77),st_dev(rssi_77),skw(rssi_77),kur(rssi_77)
2015-06-30T233000_AIU-1380.ghg,2015-07-01,00:00,182.000,36000,301.39959603118893,0.10319985821487634,-0.16998630811134854,1.7623010859414012,100786.43680555555,7.9648258553883426,0.16918376974216831,2.3040995898713263,11.776734239657726,1.3917292030101150E-002,-0.12713082243597695,3.4766297897824199,387.73397355355212,1.9178346560339568,0.34915263003312436,3.4867393798559885,31.931492357360003,6.1439921149068717E-002,-0.81680570304214206,3.2330605361105285,97.278094508912829,2.8336799593035700E-002,-0.33464235887816907,2.6078777257333305,1.7786541847371418,1.2615543292821862E-002,-0.46658552637018574,3.0670420928272839,30.262882429635503,0.65185921139365410,2.8429360431444053,15.895190587875836
2015-07-01T000000_AIU-1380.ghg,2015-07-01,00:30,182.020,36000,301.42631235165061,0.17297401406092286,0.29507494678165647,1.6487946846369346,100776.07294444444,9.9544384962033607,-0.73906448508541100,2.0055722407718943,11.776666736602785,1.2735240627822941E-002,6.0825278271650705E-002,2.4352188722025350,386.05604388894051,3.9262526629048331,-1.9210050830885041E-002,2.2411405410994396,31.816364045646470,8.7192083201225692E-002,-1.3384388155459379,5.6550755143756870,97.305117238680509,7.6035328107424638E-002,0.55209891329974770,1.7087283484157700,1.7708009695228608,1.2457701561846276E-002,-1.4781830711675647E-002,3.5993033116791793,35.305121568155350,0.29939204974356348,-35.619338983337720,2033.0378959677435
2015-07-01T003000_AIU-1380.ghg,2015-07-01,01:00,182.041,36000,300.74902568986664,0.33320160585702163,0.75243890497743915,2.4304643198493290,100772.35047222223,7.6898871035847938,0.53692920390921639,2.0533218100350661,11.770426713095770,1.1733569299692419E-002,-0.82169981118345903,2.9577149255877258,390.02354269748258,3.8909144942750098,0.61763178868567126,4.8123693659175286,29.477277833938224,0.93661247603840470,1.2665885804442325,3.7155398537214372,97.743414909574696,0.14582554596235694,-1.5976332430206095,4.9496539000720858,1.7947168642050677,1.9577243486537874E-002,-0.48393787279431866,3.3385074505663752,36.225955903053297,0.54795581169560770,-1.4970476015040832,5.8130718155513064
2015-07-01T010000_AIU-1380.ghg,2015-07-01,01:30,182.062,36000,300.42405139923096,4.1718498289572685E-002,-0.33260643782217442,2.0765363634974592,100750.92463888889,14.834182134239061,-0.36180785398856707,2.1926675990060764,11.772784529871412,1.2430674309651463E-002,6.9702129602170038E-002,2.2839056759622656,388.79155938975003,0.96630743074201442,0.85844466488685334,5.2941880154203664,28.542928523619977,6.3899336924691699E-002,4.7742449742798614E-002,4.0731126561792195,97.835327884674072,2.6197484076237981E-002,-0.41318549959075501,2.5763304036005712,1.7868825240184827,1.7532282460892935E-002,6.4328766394136441E-002,2.7444098999876836,36.892078290833361,0.18100777119821251,-6.7758791116117889,82.988633591143838
2015-07-01T013000_AIU-1380.ghg,2015-07-01,02:00,182.083,36000,300.09116333346890,0.19111849410663015,0.14213415168667082,1.7357084500875732,100692.72591666666,11.158400696521712,1.3139653281707728,3.3801746295031965,11.777975870768229,1.4694431407418352E-002,-0.34160602259788203,2.3147855615670756,396.96208105426354,4.4638979755056889,-0.18137813335709460,1.7271596418967008,28.715661636590948,0.11743197313785027,-0.89409471490909831,3.1989170514393188,97.665978230370385,7.4677028851823937E-002,0.53100614441283367,2.1611137910282534,1.8004779487782059,2.2388151286986940E-002,-6.5644601789435139E-002,2.4596470507238264,35.758621274741309,0.37160425376952555,0.64914747093983471,2.4524227364226734
2015-07-01T020000_AIU-1380.ghg,2015-07-01,02:30,182.104,36000,299.97593737453889,0.30250247677420322,-0.12723442678308927,3.2237912536334488,100669.76222222223,5.9815146312587482,0.45567968381584512,2.4432351545604094,11.770430086135867,1.3983808604117708E-002,-0.22250389895496728,2.8355559648544575,395.78607232411673,12.110160680432761,1.7655144733800221,5.5864280951841163,27.586146305137277,0.62212860461433050,-4.5289863672246531E-003,1.5260603716446117,97.905730549282524,0.18453429759146739,-0.17437336366236225,1.6860539642550036,1.7928003872663416,7.5686477043045170E-003,-8.0538339060314670E-002,3.0650605599487850,32.709597878119446,0.95773615228677966,-1.2853345838192725,3.8763758933901173
2015-07-01T023000_AIU-1380.ghg,2015-07-01,03:00,182.124,36000,299.81440664333769,0.12725964527419156,-1.3881390434838459,5.2047503692718067,100671.69844444444,7.4440959321417450,0.38780353474846757,2.3737306191490748,11.781416773875556,1.1711638699103832E-002,-2.7335021611308460E-002,1.9404924950488867,397.85080263688826,3.2011623767315318,0.44189792413024048,3.1673591281399758,26.953701211320016,0.23225602044953528,-0.46847089192131780,2.2647420216664043,97.982631272210000,5.1548161975454698E-002,0.18927235828940833,2.0738809637679729,1.8024553387454811,1.5751212357923945E-002,0.59997156482723157,13.727716383162122,35.340437091340277,0.76547140607744235,-36.088676692236490,1474.5056975431778
2015-07-01T030000_AIU-1380.ghg,2015-07-01,03:30,182.145,36000,299.65988326348202,4.1434465356444170E-002,1.0810607502115921,3.6784339610661547,100635.72536111111,6.9639261860842465,1.0637768756661561,3.7483073154109046,11.771190658013026,1.6979898995101640E-002,-0.10441617028994953,2.9680900263046794,399.00144094509506,3.0050497326463739,0.20983441373833941,3.1458317080875151,27.507914740112138,0.21852078253995724,0.10714696518953515,1.9190976159482902,97.770965382681979,9.2377257693071077E-002,0.15082197270181202,1.8764255278995030,1.7943594045672144,9.9961181189124476E-003,-7.6229336664270951E-003,3.0228076538957316,33.236129468322318,0.56267142413316951,-0.16110155982515573,1.8890134296626060
2015-07-01T033000_AIU-1380.ghg,2015-07-01,04:00,182.166,36000,299.48464231024843,0.13042347212884572,-0.20097442532561802,2.1318776450097099,100621.09230555556,6.0203780534662190,-0.52679785828133407,2.0867968805802168,11.779250803497099,1.0503459496241022E-002,-0.23802069409415544,2.7039689857646647,404.62539761437171,7.0562334222624044,0.67280559727985290,2.8575043599768875,27.944214540613952,0.19852031677424117,0.60689470066486606,1.8471385132054094,97.521783851941450,0.13177492022045012,-0.45362993997139678,1.6787023582057556,1.8126584360036584,1.2337895150321326E-002,-5.6857363549105172E-002,3.0895882164584658,30.517218651590813,0.72677271697916690,-0.39569892128170597,1.9094325141917019
2015-07-01T040000_AIU-1380.ghg,2015-07-01,04:30,182.187,36000,299.26061039818660,0.13354575910405747,-7.3590304091903966E-002,1.5658431591035726,100607.10881944445,5.1141143195039840,0.12943735192061528,1.9166821686244726,11.751755849944221,1.9434927315285948E-002,-0.23437839084227954,3.0501524571874756,413.94156448660971,6.3150568353622694,-0.22043302786079100,2.5682958157125313,28.283672765811289,0.11343089735145542,1.2373245515944256,4.9169418110865930,97.205998921076457,6.1120903159230355E-002,7.4330794531912880E-002,2.1115417038895461,1.8303380446583140,0.58456757280550020,23.982780244423111,737.80432832078748,54.062777217861679,6.8798077409856129,-7.0809293064548502,53.199784167164054
