first_statistics:_on_raw_data
filename,date,time,DOY,n_samples,mean(air_t),st_dev(air_t),skw(air_t),kur(air_t),mean(air_p),st_dev(air_p),skw(air_p),kur(air_p),mean(vin_sf),st_dev(vin_sf),skw(vin_sf),kur(vin_sf),mean(co2),st_dev(co2),skw(co2),kur(co2),mean(h2o),st_dev(h2o),skw(h2o),kur(h2o),mean(co2_signal_strength_7500),st_dev(co2_signal_strength_7500),skw(co2_signal_strength_7500),kur(co2_signal_strength_7500),mean(ch4),st_dev(ch4),skw(ch4),kur(ch4),mean(rssi_77),st_dev(rssi_77),skw(rssi_77),kur(rssi_77)
2015-06-30T233000_AIU-1380.ghg,2015-07-01,00:00,182.000,36000,301.39959603118893,0.10319990396475319,-0.16998608203994009,1.7622979609383369,100786.43680555555,7.9648258553734692,0.16918376974311611,2.3040995898885370,11.776734239657726,1.3917291764344742E-002,-0.12713082971882306,3.4766300553331284,387.73375752936505,1.9181306427076095,0.34875751075964484,3.4858317344982148,31.931447160349940,6.1515681417376795E-002,-0.81806044246710408,3.2303934645062284,97.278094508912829,2.8336791917714970E-002,-0.33464263080254258,2.6078805512198793,1.7786431944668328,1.2649139839658903E-002,-0.46889690578102261,3.0965794043919503,30.263705757988969,0.65825437702609824,2.9421971250435539,16.948960384997012
2015-07-01T000000_AIU-1380.ghg,2015-07-01,00:30,182.020,36000,301.42631235165061,0.17297400190441939,0.29507500899470279,1.6487951481419745,100776.07294444444,9.9544384962115871,-0.73906448508357869,2.0055722407652645,11.776666736602785,1.2735240975673334E-002,6.0825273287505595E-002,2.4352186061402570,386.05651834530397,3.9266618499450505,-1.9283856294904776E-002,2.2405692287346355,31.816352888531181,8.7266754937140020E-002,-1.3444278768351827,5.7046434077580610,97.305117730458591,7.6037450704036169E-002,0.55204715014709582,1.7089749279825404,1.7708111431433085,1.7076265768188416E-002,34.902085477756259,3029.4179935410434,35.296477242087306,0.51684238199011179,-41.011921692765071,2185.1113135665287
2015-07-01T003000_AIU-1380.ghg,2015-07-01,01:00,182.041,36000,300.74902568986664,0.33320161865064057,0.75243881830544490,2.4304639465686386,100772.35047222223,7.6898871035435539,0.53692920391785492,2.0533218100791131,11.770426713095770,1.1733568777853887E-002,-0.82169992081625298,2.9577154517532080,390.02390325164799,3.8927656004155091,0.62381274738408721,4.8534709059782468,29.477273681216406,0.93661570062374300,1.2665807766837214,3.7155194631642106,97.743414909574696,0.14582554681047466,-1.5976332151452255,4.9496537849238358,1.7946812801791541,1.9647135726586301E-002,-0.48277563715822824,3.3486434167000296,36.225856718328224,0.54862617997289542,-1.5176855455701681,6.0582208049417616
2015-07-01T010000_AIU-1380.ghg,2015-07-01,01:30,182.062,36000,300.42405139923096,4.1718485890875331E-002,-0.33260673437328586,2.0765388320776910,100750.93041666667,14.842529634045418,-0.35991553968875073,2.1930676243318494,11.772784529871412,1.2430672598907976E-002,6.9702158379972623E-002,2.2839069332321480,388.79133667755144,0.96683321022996493,0.85346255757320455,5.2995809519275126,28.542892788834049,6.4041002276098949E-002,2.1793650306755154E-002,4.1916681248543135,97.835327884674072,2.6197500588523021E-002,-0.41318471829876652,2.5763239081623346,1.7868668374949068,1.7579028046628312E-002,5.2859741576919222E-002,2.7791875297659367,36.891376725143878,0.18719756819315120,-7.0141071494212284,84.340118395468920
2015-07-01T013000_AIU-1380.ghg,2015-07-01,02:00,182.083,36000,300.09116333346890,0.19111849999864119,0.14213413854106799,1.7357082360462766,100692.72591666666,11.158400696466460,1.3139653281902914,3.3801746295701456,11.777975870768229,1.4694430939860127E-002,-0.34160605520629905,2.3147858561812962,396.96177658589460,4.4643732429734584,-0.18204600689527470,1.7295059672131330,28.715650541994282,0.11744957632018563,-0.89419365318532029,3.1985289529748835,97.665978230370385,7.4677034753035984E-002,0.53100601852756180,2.1611131079165431,1.8004529618322855,2.2439183990736269E-002,-7.2472673089396894E-002,2.4783524051291166,35.757880409876421,0.37287043504330147,0.63226034574402235,2.5132780917782567
2015-07-01T020000_AIU-1380.ghg,2015-07-01,02:30,182.104,36000,299.97593737453889,0.30250249181984762,-0.12723440779821579,3.2237906122633513,100669.76222222223,5.9815146312978760,0.45567968380690271,2.4432351544964801,11.770430086135867,1.3983809074948029E-002,-0.22250387648006548,2.8355555829654739,395.78607232411673,12.110160680876959,1.7655144731857464,5.5864280943644813,27.586146305137277,0.62212860463471975,-4.5289863667793626E-003,1.5260603714445553,97.905730549282524,0.18453429807689872,-0.17437336228625558,1.6860539465138373,1.7927825560934021,7.6239545534657841E-003,-0.10577955189345101,3.1950786963195483,32.709905758539698,0.95837723506930017,-1.2792875545997637,3.8815068355452467
2015-07-01T023000_AIU-1380.ghg,2015-07-01,03:00,182.124,36000,299.81440664333769,0.12725964171358953,-1.3881391600002240,5.2047509517674131,100671.69844444444,7.4440959321002698,0.38780353475494961,2.3737306192019760,11.781416773875556,1.1711638944788062E-002,-2.7335019891023975E-002,1.9404923322199634,397.85080263688826,3.2011623782602032,0.44189792349717349,3.1673591220898589,26.953697254286844,0.23225820588227666,-0.46842216507263978,2.2646363828748686,97.982632247500945,5.1548383911270049E-002,0.18921605210302203,2.0738318438518513,1.8042166668971367,0.14754654787853161,88.452510810769255,8337.3244927933083,35.339088755906836,0.76965285902819647,-35.594658957365304,1443.6396804825183
2015-07-01T030000_AIU-1380.ghg,2015-07-01,03:30,182.145,36000,299.65988326348202,4.1434553825960556E-002,1.0810538255044058,3.6784025449459090,100635.72536111111,6.9639261860689317,1.0637768756731745,3.7483073154438773,11.771190658013026,1.6979897951884104E-002,-0.10441618953543386,2.9680907557233978,399.00144620852950,3.0050646480842720,0.20986822448574968,3.1459271876523496,27.507915724913229,0.21852436352710297,0.10702697829469618,1.9192667315236178,97.770965382681979,9.2377256304932737E-002,0.15082197950094553,1.8764256406864976,1.7943419876264215,1.0063754928292448E-002,-2.7099728470280342E-002,3.1434331731963683,33.235781023872931,0.56307592164018683,-0.16202034061631304,1.9283569897400326
2015-07-01T033000_AIU-1380.ghg,2015-07-01,04:00,182.166,36000,299.48464231024843,0.13042347228815634,-0.20097442458915485,2.1318776345934638,100621.09230555556,6.0203780534625899,-0.52679785828228676,2.0867968805852488,11.779250803497099,1.0503458961888288E-002,-0.23802073042133551,2.7039695360113352,404.62544766913453,7.0564408927170756,0.67309058261132282,2.8591698762396343,27.944209626780559,0.19852637454711575,0.60680047407440119,1.8471590218045828,97.521785964118095,0.13177764200516282,-0.45357071483313810,1.6787269994091931,1.8126308878130386,1.2483906896631241E-002,-8.8990492965291726E-002,3.3469876048784046,30.517918489985824,0.72869936493951148,-0.37550723954816462,1.9614023532139726
2015-07-01T040000_AIU-1380.ghg,2015-07-01,04:30,182.187,36000,299.26061039818660,0.13354576617849628,-7.3590292396810419E-002,1.5658428273083820,100607.11083333334,5.1126416714683591,0.12911215222707115,1.9177286041063293,11.751755849944221,1.9434927209926303E-002,-0.23437839465408039,3.0501525233288054,413.94155605570427,6.3150829011714587,-0.22046457631580266,2.5684100513712895,28.283666611618450,0.11344518592683583,1.2361104419934252,4.9177601723540230,97.205998921076457,6.1120904432838810E-002,7.4330789885303311E-002,2.1115415278923280,1.8305992900894910,0.58656895842168355,23.813904108557825,728.63511568131412,54.062777217861679,6.8798077409936607,-7.0809293064300016,53.199784166915130
