TIMESTAMP,LOGGERPWR_1_1_1,LOGGERTEMP_1_1_1,RH_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PA_1_1_1,PPFD_1_1_1,PPFD_2_1_1,PPFD_3_1_1,P_RAIN_1_1_1,SW_IN_1_1_1,RH_2_1_1,RH_3_1_1,RH_4_1_1,RH_5_1_1,RH_6_1_1,NETRAD_1_1_1,G_1_1_1,SHF1SENS_1_1_1,G_2_1_1,SHF2SENS_1_1_1,G_2_1_1,SHF3SENS_1_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TA_2_1_1,TA_3_1_1,TA_4_1_1,TA_5_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,WD_1_1_1,WS_1_1_1
[yyyymmddHHMMSS],[OTHER],[C],[%],[W m-2],[W m-2],[kPa],[umolPhoton m-2s-1],[umolPhoton m-2s-1],[umolPhoton m-2s-1],[mm],[W m-2],[%],[%],[%],[%],[%],[W m-2],[W m-2],[OTHER],[W m-2],[OTHER],[W m-2],[OTHER],[%],[%],[%],[W m-2],[W m-2],[deg C],[deg C],[deg C],[deg C],[deg C],[deg C],[deg C],[deg C],[Decimal degrees],[m s-1]
20150701000000,-9999.,30.370000000000001,12.003916666666667,426.97050000000002,462.09036666666668,103.36783333333334,0.43303653333333331,4.2654750000000003,0.61181313333333331,0.0000000000000000,2.1830606666666665,92.015580000000000,90.870823333333334,68.131413333333327,68.457756666666668,68.692463333333336,-37.560736666666671,-5.2416676666666664,61.229999999999997,-5.4551366666666663,63.880000000000003,-2.5360640000000001,63.060000000000002,26.076946666666668,48.387493333333332,31.316656666666663,-4.6037876666666664,-2.1628716666666667,26.485556666666696,26.823895666666658,49.885280000000023,47.943429999999978,47.286586666666665,29.615833333333342,29.779166666666640,30.353333333333353,334.92042828915265,1.8879903333333334
20150701003000,-9999.,30.090000000000000,12.004110000000001,424.69920000000002,460.65199999999999,103.35190000000000,0.50057433333333334,4.2866629999999999,0.60651606666666669,0.0000000000000000,2.1645203333333334,94.256739999999994,93.622730000000004,67.639763333333335,68.454103333333336,68.653940000000006,-38.079506666666667,-5.5827886666666666,61.229999999999997,-5.5922453333333335,63.880000000000003,-2.7272366666666668,63.060000000000002,26.110556666666668,48.385283333333334,31.309713333333335,-4.6755003333333329,-2.5488909999999998,25.871807999999987,26.169846000000007,51.715786666666645,48.348756666666645,47.019029999999987,29.577499999999986,29.676666666666677,30.339999999999975,310.52330810232058,1.9418980000000001
20150701010000,-9999.,29.750000000000000,12.004140000000000,422.12046666666669,459.35926666666666,103.36523333333334,0.52441119999999997,4.3647960000000001,0.63962280000000005,0.0000000000000000,2.2029236666666665,90.931640000000002,88.387556666666669,67.750806666666662,67.983746666666661,67.959090000000003,-39.852866666666664,-6.1024153333333331,61.229999999999997,-5.9812926666666666,63.880000000000003,-3.0130006666666667,63.060000000000002,26.196943333333333,48.401113333333335,31.304166666666667,-5.2271469999999995,-2.6131400000000000,27.210516666666649,27.636973333333344,46.370506666666699,44.446576666666658,43.096580000000017,29.430000000000007,29.548333333333346,30.311666666666667,329.71532363701948,3.1925226666666666
20150701013000,-9999.,29.520000000000000,12.003996666666668,424.48843333333332,456.31383333333332,103.32730000000001,0.51911416666666665,4.3290410000000001,0.65948683333333336,0.0000000000000000,2.1598856666666668,90.486156666666673,88.490570000000005,67.216836666666666,67.409953333333334,67.555840000000003,-34.283246666666663,-6.5259216666666671,61.229999999999997,-6.3661919999999999,63.880000000000003,-3.2971886666666665,63.060000000000002,25.968883333333331,48.342776666666666,31.293880000000001,-4.3733219999999999,-1.9153549999999999,26.836823333333314,27.008506666666676,45.689523333333341,43.032813333333308,42.111606666666660,29.336666666666645,29.500000000000000,30.273333333333312,354.07081467048988,2.3375563333333331
20150701020000,-9999.,29.259999999999998,12.004156666666667,422.51453333333336,453.63516666666669,103.24980000000001,0.45025196666666667,4.1383466666666662,0.65816253333333330,0.0000000000000000,2.1016170000000001,92.342463333333328,90.898566666666667,66.573213333333328,67.020703333333330,67.273086666666671,-33.405193333333337,-7.1051213333333330,61.229999999999997,-6.8055003333333337,63.880000000000003,-3.6174906666666669,63.060000000000002,25.983879999999999,48.384726666666666,31.318336666666664,-4.5259440000000000,-2.2413393333333334,25.030443333333324,25.198377333333326,49.406776666666644,45.641959999999983,44.132926666666663,29.230833333333351,29.484166666666681,30.216666666666640,14.803647413927013,1.8314933333333334
20150701023000,-9999.,28.949999999999999,12.004796666666667,427.35806666666667,452.90859999999998,103.22040000000000,0.53368126666666660,4.3012313333333330,0.62505590000000000,0.0000000000000000,2.1512783333333334,95.777493333333339,95.215386666666660,66.094953333333336,66.886906666666661,67.160996666666662,-27.164756666666666,-7.5959866666666667,61.229999999999997,-7.3289606666666662,63.880000000000003,-3.9703366666666668,63.060000000000002,26.063333333333333,48.341383333333333,31.285556666666665,-4.0214953333333332,-2.4072273333333332,25.806303333333346,25.896406666666678,52.117563333333351,46.608859999999993,41.070859999999982,29.123333333333335,29.467500000000030,30.188333333333333,15.955498258798857,2.2056113333333336
20150701030000,-9999.,28.630000000000003,12.004606666666668,426.47329999999999,451.83760000000001,103.21916666666668,0.45687333333333330,4.2297206666666662,0.67405380000000004,0.0000000000000000,2.1426699999999999,96.432406666666665,95.829083333333330,65.890460000000004,66.834576666666663,66.867019999999997,-26.850366666666666,-7.8583946666666664,61.229999999999997,-7.7730373333333329,63.880000000000003,-4.3419753333333331,63.060000000000002,26.106943333333334,48.379996666666671,31.305836666666664,-4.3340940000000003,-2.8480173333333334,25.595493333333309,25.710213333333343,52.493933333333359,43.866069999999979,40.127976666666655,29.069166666666661,29.404166666666697,30.139166666666654,27.442431365318395,1.9661416666666667
20150701033000,-9999.,28.390000000000001,12.004743333333334,421.66163333333333,450.80946666666665,103.17463333333333,0.52970830000000002,4.3025556666666667,0.67537796666666672,0.0000000000000000,2.1552509999999998,96.513069999999999,96.311743333333339,65.885733333333334,66.595720000000000,66.939830000000001,-30.813816666666668,-7.9909486666666663,61.229999999999997,-8.1247746666666671,63.880000000000003,-4.7022743333333334,63.060000000000002,26.136659999999999,48.311669999999999,31.259446666666669,-4.5308479999999998,-2.8648696666666669,25.495499999999993,25.523033333333331,50.909170000000017,44.267920000000004,42.490346666666653,28.983333333333348,29.251666666666665,30.128333333333330,33.954914019251149,1.8879326666666667
20150701040000,-9999.,28.030000000000001,12.005043333333333,420.60616666666670,449.52929999999998,103.15393333333334,0.49527716666666666,4.3157973333333333,0.67140523333333335,0.0000000000000000,2.1598856666666664,97.133803333333333,95.999570000000006,65.700299999999999,66.393663333333336,66.825973333333337,-30.578530000000001,-8.2280563333333330,61.229999999999997,-8.3853126666666657,63.880000000000003,-5.0269856666666666,63.060000000000002,26.135563333333334,48.371659999999999,31.245003333333333,-4.6865356666666669,-3.0312850000000000,25.192056666666645,25.394049999999993,52.214003333333324,46.473223333333351,44.647683333333362,28.825833333333321,29.175000000000011,30.106666666666683,67.325051463464106,1.7716966666666667
