Sitename:Pekan
Location: Latitude:    3.4383266 - Longitude:  103.3899384 - Elevation (masl):    35.
Principal investigator: 
Ecosystem type: 
File creation date: 2015-08-10T10:20
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2015,0,182.18746999999999,182,430,0.13359717327878218,26.419608599129447,221.17458525895259,1.8846849124080614,14.331435251242290,7.3900636599084448,6.9413715913338452,-6.9745127776218316,2.2991554835703001,-2.3280417848128723,0.85124453535470812,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005190000000001,100.67720658192091,414.12586863946802,3.0250563414775691,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0982439971100471,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.92333982009889104
 2015,0,182.20830000000001,182,500,9.0957359444798505E-002,26.631185041639526,204.34250562557057,2.3675678192975416,-1.1813296751238660,-2.4813257649509959,1.2999960898271299,-1.0000019193717926,4.3826129854020044,-12.516580844176337,1.6110293287391524,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004780000000000,100.66701756944445,415.95671174121014,3.0630015292545942,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1499097920540358,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.41951928507301883
 2015,0,182.22913000000000,182,530,9.7219210918800425E-002,26.324168752034495,193.02351282623601,2.6558571003554938,12.780306346134630,4.7305754275631520,8.0497309185714787,-4.7613836875027680,-6.3663846545521317,0.38545737572965211,-2.3277857879659418,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005136666666667,100.67390188888888,427.28112624008372,3.0080823380135673,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0753613893334766,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.6357968596585666
 2015,0,182.24995999999999,182,600,6.7140140949226129E-002,26.333047204896673,195.07238427915547,1.9418040795635616,-2.1326150379253415,2.0490306745886855,-4.1816457125140269,-2.3408170072542482,0.18414977767288460,1.2306322268874399,3.2632704778205492E-002,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005110000000000,100.70059562849164,421.39974454943666,3.0096589459711769,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0764062295674659,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.4411293330537815
 2015,0,182.27079000000001,182,630,0.10316648867421653,26.364704252274976,183.84215159466069,2.4497370749648306,0.21390844585508728,1.4472439581614935,-1.2333355123064063,-2.1153428831635934,0.65659766847019685,0.73489940178159008,0.22862976960718848,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005343333333332,100.70987586592179,419.66506503698662,3.0152751158532194,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0837268660770008,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.60800256986573264
 2015,0,182.29161999999999,182,700,0.16232326672065084,26.258089002044471,171.51643254440023,2.0550210648546656,6.6209666507993941,3.7535453015546065,2.8674213492447880,-2.6233336181511433,-2.2124621344814726,0.47795770484808819,-0.82521145142538799,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005073333333334,100.72753427374300,423.69593484287583,2.9963796166578951,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0573206885212594,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.19355330700203960
 2015,0,182.31245000000001,182,730,9.7903764151481817E-002,26.416057620767731,197.77089757605839,2.5351575586849342,-4.5611366261318427,2.3736453526533778,-6.9347819787852210,-2.9600196079785017,3.2773819391056715,3.6207049130431379,1.1515714340852221,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005240000000001,100.75635406424580,413.94503053279573,3.0244215206073037,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0941847093019827,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.99515919325948310
 2015,0,182.33328000000000,182,800,0.12121695064755797,26.597552110043239,196.97046063847375,2.2030086045719144,3.2719891921009667,5.2746998566001837,-2.0027106644992170,-5.5132248407575997,3.7661621039085058,7.3846717160542017,1.2762249818188574,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005420000000001,100.83462249999999,411.12952689682982,3.0569220776255537,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1350393604018025,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.97603606731008030
 2015,0,182.35410999999999,182,830,2.8179757480457011E-002,26.675756727676742,197.70247903741011,1.7099833401777109,-1.6420122434103750,0.38216637187122449,-2.0241786152815995,-0.32537560843493074,1.6233628334419838,0.40815905904192773,0.86285052090174952,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037253333333334,100.89454846368716,408.28479082525706,3.0699115798861865,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1626539202639679,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.5828573093950764
 2015,0,182.37494000000001,182,900,0.15349099654620266,26.609177890543094,201.41588664771248,1.6359009285920412,4.6391268837098396,3.9247078806189650,0.71441900309087436,-2.2039859788338556,-1.3827517423695255,11.087392957909371,-0.52014170550388761,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.039820000000001,100.92483712290503,409.28829536824531,3.0578187886302257,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1460171386928799,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.19205787820432871
