Sitename:Pekan
Location: Latitude:    3.4383266 - Longitude:  103.3899384 - Elevation (masl):    35.
Principal investigator: 
Ecosystem type: 
File creation date: 2015-08-10T10:20
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2015,0,191.14581000000001,191,330,7.1414571344745034E-002,27.608832187759106,2.8218088475907130,1.1848148625434398,6.8978131865917973,8.6758772414222118,-1.7780640548304141,-4.1343212373166365,0.97285601533887656,5.5076193070619732,0.41281478489316725,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005250000000000,100.33142231843576,416.00473396904005,3.2436874529244339,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.4096081569615952,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.5918097234803952
 2015,0,191.16664000000000,191,400,4.9958386226272862E-002,27.608126371070171,347.89071781248833,1.2502212660218326,0.49468932602351856,2.4653881896272121,-1.9706988636036935,-1.3644947174460909,-1.4524895754938528E-002,1.1647467609901374,-2.0828515873253075E-003,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005230000000001,100.32864990082969,413.21087465193148,3.2435544544675885,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.4095408521686021,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.4627795368390091
 2015,0,191.18746999999999,191,430,3.2953439790420515E-002,27.719470072655042,306.04496676006903,1.0487308000597235,-0.25459844657913067,1.5616126974485178,-1.8162111440276485,-0.84583021238716793,2.2899462443640939,-2.6807087813140047,0.92779910960202727,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005703333333333,100.30457100842713,410.63446099805333,3.2646933660016395,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.4395430921741417,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.4804896769419260
 2015,0,191.20830000000001,191,500,7.3906998797231158E-002,27.663021501935248,254.85351323701121,2.3184380162721512,19.770198515589641,4.8979364656777520,14.872262049911887,-2.0025092043385491,-1.1612798774234021,-1.9279156567386437,-0.46654032044142568,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005646666666667,100.31487414804469,431.72560761796524,3.2539547310845709,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.4244617861488988,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.5697729595109471
 2015,0,191.22913000000000,191,530,0.12131945553897502,26.635356498164072,245.99170659544453,2.2623824988500520,46.716880062455388,4.8669828399719757,41.849897222483413,-1.9996080991405527,-21.211027363643129,-0.73978024383961116,-8.0326326422526240,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005216666666668,100.30819937150838,490.87636207781537,3.0637383244237517,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1659286899628203,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.35442493534351910
 2015,0,191.24995999999999,191,600,0.13502756511316852,26.437165012466153,256.98596942813424,2.4331349143033427,12.012437418641218,11.238498931660077,0.77393848698114109,-6.4050517836773029,-4.0937618887720975,-3.9454449685633763,-1.5156399876080107,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005343333333334,100.31885410614525,491.96940950429604,3.0281828870965128,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1171941056249555,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.82337755207408614
 2015,0,191.27079000000001,191,630,0.12573357745651506,26.329075835670153,246.79294450980834,1.8373542177707245,2.6261795881154177,5.8103720494626012,-3.1841924613471835,-1.0803183460426546,-2.2332393588998021,2.2794264115722425,-0.79622884442180386,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005940000000001,100.31005398044694,487.47354455914552,3.0089256599309766,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0916014789455488,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.17201723347527256
 2015,0,191.29161999999999,191,700,8.9085952700866042E-002,26.385870772207170,251.51447186323304,2.2061652110680710,-14.915869706026703,-2.1523570205484464,-12.763512685478256,0.32741448614186275,1.1733834593487846,-3.5608929536664040,0.41680560117809390,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.006583333333333,100.32344808659218,469.45131461413837,3.0189980960458715,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1050000612505810,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.14655518310167331
 2015,0,191.31245000000001,191,730,8.4074409289643187E-002,26.882653995279441,240.81251903925323,2.3433202703449592,-14.269440467082662,5.4694643329014827,-19.738904799984144,-4.2814366791320326,10.248972091774325,9.0606378399556817,3.7566287141306449,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.006790000000001,100.34378466480447,441.53918335448230,3.1085518765613469,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.2259943941505078,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.2795624682307243
 2015,0,191.33328000000000,191,800,0.11265738112975439,26.704165761084539,268.70385869400826,1.8485685469422217,24.267116165686652,8.0035682234831427,16.263547942203509,-4.0203667058945332,-3.6861647586807598,1.7299166107005790,-1.4362433176470586,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.006256666666667,100.38972776536313,464.51272822386380,3.0761295522269618,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1797922477615534,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.88941343497583125
 2015,0,191.35410999999999,191,830,0.18107011417205188,27.034492183237717,243.71809291191440,1.7746581631641323,12.430048323228336,4.4679651519305130,7.9620831712978228,-3.0176054914643791,6.8189191316310120,37.969949092978318,2.7962368461590050,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.036759999999999,100.45326587988826,475.76506687005548,3.1353150553626588,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.2698147328990741,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.16070613936246242
 2015,0,191.37494000000001,191,900,0.30459671184271098,27.493117030479425,223.07500842964353,1.9870848761814488,-0.35713385427569566,5.7377436679735201,-6.0948775222492158,10.315954338551618,9.4569223275065148,53.772063561904055,3.5746999582340875,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.038766666666668,100.49239258379887,467.14173833098715,3.2205989993324988,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.3850815567314738,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.11537440529212367
 2015,0,191.39577000000000,191,930,0.40121770279288838,28.330209240620263,222.60898916939308,2.4209391379284004,-8.6077114927533813,9.6785427464424281,-18.286254239195809,16.135593075198496,17.220630459750847,108.71664063237773,6.7214888744550736,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.038616666666666,100.53058755586592,441.20728062625761,3.3816245921770887,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.6025151657216261,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.8936262791927697E-002
 2015,0,191.41659999999999,191,1000,0.36103728768426741,29.148720451653389,210.71791887916606,2.4980578625547527,-3.5068953403466079,4.5510435168657626,-8.0579388572123705,27.919078443266219,16.794880236225108,102.82313717267336,6.8699200895943662,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.038270000000001,100.53699769553073,429.74882318195671,3.5458140180068369,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.8255173204684496,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.18742638124749153
 2015,0,191.43743000000001,191,1030,0.45641989290962159,29.831473529503910,213.37753377938085,2.3059650831713694,-17.075606281949227,-9.3362744658889305,-7.7393318160602949,72.826951624558021,13.976614144114199,192.54390667026274,5.9566312248843412,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037696666666667,100.52383334264483,418.71712788059904,3.6880442265756770,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.0194646743656461,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.24199267769078955
 2015,0,191.45826000000000,191,1100,0.30674555367658812,30.103791347908498,214.76500919800912,2.5424553894133952,-9.2086509050156806,-2.0313694466019090,-7.1772814584137707,21.686208076337241,5.5693200772079283,99.164665224529458,2.4331726324794070,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037453333333334,100.51660335195531,408.47665154337500,3.7461424807948682,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.0987865266661458,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.23739178313886924
 2015,0,191.47909000000001,191,1130,0.30249639776013809,30.304478915763355,216.71059556038747,2.1787623967310554,-10.421456918545633,-4.9585172624423617,-5.4629396561032726,23.532392635899171,4.1000597562128833,65.961829174785677,1.8661016982906000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037136666666667,100.47586289106145,400.67386102877697,3.7894722136063272,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.1596986378877414,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.26868356437192853
 2015,0,191.49992000000000,191,1200,0.33820800375666882,30.833982757056788,228.24996241307207,2.2790710601516957,-7.0552420004081062,-5.4414220336871981,-1.6138199667209083,28.537820165381429,10.792772743657126,153.34124711497128,4.9370692235306262,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.036859999999999,100.41407284916201,398.36337730061615,3.9058681213009683,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.3213153790343473,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.23322605035745278
 2015,0,191.52074999999999,191,1230,0.33287661926126927,31.257438780251334,201.69733107403025,2.2438252199105881,-6.9854158969278934,-5.2932185177591391,-1.6921973791687546,23.643305240383608,8.6164579222960338,135.13616340154849,4.0197444095622199,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037096666666667,100.37848529329608,395.93644683684818,4.0011549596996918,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.4531877072925310,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.20270343523295095
 2015,0,191.54158000000001,191,1300,0.37468274243036792,31.355399272215379,211.37473770086336,2.3238243564056251,-8.3101019511271605,-6.9617566405604316,-1.3483453105667296,18.549445724428715,1.9923944153728010,141.15304438862930,0.96127585110022606,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037890000000001,100.36463653631284,394.00177594358439,4.0234497942311522,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.4847409852401121,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.11152748042812195
 2015,0,191.56241000000000,191,1330,0.42126541225996778,31.659527546120728,215.37100996553352,1.8301043429823556,-11.763265804974935,-10.815161362629196,-0.94810444234573910,33.810801382428728,6.1779340166606964,212.42174333213708,2.9422568626692316,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037450000000000,100.33798643854747,392.63966961452746,4.0934900482048491,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.5814695977557358,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.14305447842815691
 2015,0,191.58323999999999,191,1400,0.34734486866096626,32.249368069611421,213.38466667784436,1.3525943182396938,-6.7009320833361983,-5.6203396037438971,-1.0805924795923012,16.027983110937996,11.957748000436910,195.06788966158956,5.7591203393436716,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037113333333334,100.32559893854749,391.08402654234709,4.2323277238963763,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.7713036572545198,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.12098356865612835
 2015,0,191.60407000000001,191,1430,0.29855757700451058,31.968848713283478,202.78103822168964,1.8906426374756018,-4.2779498385140213,-2.9592291141457925,-1.3187207243682288,-0.61571547991486852,-5.6910576495110066,99.409648265155511,-2.7283415989668462,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.036923333333334,100.30861914804468,389.18699184161630,4.1658137075786295,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.6814631825303259,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.3196220442781944E-003
 2015,0,191.62490000000000,191,1500,0.28083559766992222,31.948831494720253,269.19261920612496,1.8330531415130089,-7.1934111445749771,-6.0332329323151370,-1.1601782122598401,4.8282292786798662,-0.40605315240293544,215.07007020998640,-0.16037435597404404,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037166666666666,100.29041196927373,387.51783366622271,4.1610901522390513,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.6761817703195501,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6.8973336130750920E-002
 2015,0,191.64572999999999,191,1530,0.28295552133213037,31.835289310870508,304.54170239280489,1.6041207492762983,-6.3974638008488114,-6.7548634520944777,0.35739965124566608,-2.3985944454918746,-2.3029857546976928,272.09915224745487,-1.0278285459681813,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.036863333333333,100.24358206941604,388.03207632927160,4.1344641706585188,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.6423340982729826,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.3512042971088098E-002
 2015,0,191.66656000000000,191,1600,0.29805485787206432,32.177619492514737,127.25965481692555,0.59063844267489241,-0.23861510101694350,-4.4505895283826877,4.2119744273657442,4.0875658521253335,6.9327134287863039,355.10936511371631,3.4222562390329450,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.036893333333333,100.19709581005587,394.10207131884755,4.2152364833153984,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.7552498746662613,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.8877153030798356E-002
 2015,0,191.68738999999999,191,1630,0.35274459972681532,31.386054065214125,110.03751911911559,1.9395652650893447,-7.6015380905744774,-10.815013648089536,3.2134755575150593,46.581833603896989,-16.070239306278470,222.92619239066042,-7.6811952917805142,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.035483333333334,100.19220716480447,398.72132122939900,4.0305702880642880,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.5026525453744499,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.33605396292007667
 2015,0,191.70822000000001,191,1700,0.31871824823542233,30.476141236374531,94.297874035735930,2.4024335423623562,-0.94256970639009974,-1.8882383615483844,0.94566865515828469,3.5811556512912901,-18.524461687205843,105.18399185623616,-8.4568666292411354,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.036049999999999,100.17896431564246,400.07680195232183,3.8269157265332452,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.2255877148794374,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-3.5030697467591833E-002
 2015,0,191.72905000000000,191,1730,0.24384065344827416,31.867031667189679,132.25094371194314,2.0433792621235631,18.104261727970275,16.819161622435232,1.2851001055350431,-21.735188704763413,28.378345292284113,205.80097160290606,17.501764541826514,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.402073009781777,100.84394431403771,401.91842868308407,4.1244586353917452,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.7996435185509618,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.47247627358457528
 2015,0,191.74987999999999,191,1800,0.16717838455968220,30.058235911790177,166.72322941764733,1.4356881298601196,-6.2533654196369381,3.6345995853101138,-9.8879650049470520,-4.6777924556942212,-36.883533982842323,57.553523975930773,-21.365278160923481,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037003333333333,100.20512219273743,387.76864694887757,3.7363891395310800,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.1011026668698145,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.31701538480650809
 2015,0,191.77071000000001,191,1830,0.12739880094359801,30.070733041603489,162.86360418366766,0.97735348392899291,0.54975614922073690,1.2680116864874351,-0.71825553726669822,-1.5248632716242299,0.25482671961109427,15.588909933556154,-0.29104005923446341,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.006220000000001,100.20744561452514,386.74079720457053,3.7403763185287926,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.0915867825620591,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.23351132049071061
 2015,0,191.79154000000000,191,1900,4.9988542117995763E-002,29.790087133652662,114.81218427602765,0.51073653143013842,1.8561950842747037,0.12782692818136140,1.7283681560933424,-0.27787427252603836,-5.7299420771827823,-1.3786835098033230,-2.5865749889929135,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.003406666666667,100.24537715083801,389.21093061026176,3.6807193214131342,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.0071491502884955,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.70421016492847344
 2015,0,191.81236999999999,191,1930,4.0922624555732798E-002,29.642377207665447,41.017265059167784,0.61665930818463843,-0.16784112917555122,8.0209258226565205E-004,-0.16864322175781687,-2.3580676228258074E-002,-3.0185192631625029,0.67336431734104496,-1.3628527747536696,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.003473333333334,100.28832574022346,388.97013131313167,3.6495897978325798,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.9627065446443321,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.10889387012447189
 2015,0,191.83320000000001,191,2000,5.5850708373762790E-002,29.500453249116163,16.961091762736881,0.11374903751106857,1.0881161815208267,0.20473939308125400,0.88337678843957279,0.62201212706131292,-2.9026681885319343,-1.8480539201894222,-1.2914259305368740,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.003716666666667,100.32496384078212,390.23042010823434,3.6198881936210610,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.9206341021221158,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.1296449744439698
 2015,0,191.85402999999999,191,2030,4.7522558004951504E-002,29.307441522182671,15.909763888928362,0.74984041371103927,0.63899531924592945,6.6348681058023093E-002,0.57264663818790640,-0.47855881848806175,-3.9521436888660033,-1.7850004741363186,-1.7520774771786081,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.003920000000001,100.37969196927376,391.04643280245006,3.5798376960519414,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.8636326528014013,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.4102707762058062
 2015,0,191.87486000000001,191,2100,0.10123420888903545,29.178992956577019,346.20547795438421,2.0472762301454339,2.2655061958694542,-0.94059880775339932,3.2061050036228536,-1.3020655347956769,-2.6326290363563989,0.90461794748625290,-1.1807958658189504,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004193333333333,100.43316350558659,395.61071183543515,3.5533927669833338,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.8252586350907176,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.39678643262271857
 2015,0,191.89569000000000,191,2130,0.22521170609518237,28.676798328420887,198.07326967089620,1.4258725305832063,6.9362874248332078,-5.5664134725500576,12.502700897383265,6.4039830862924072,-10.313455219103236,-4.5850975320904643,-4.3136589948769046,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004440000000001,100.47158455307262,413.37346172900322,3.4516575115422898,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.6854263056021184,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.17720701599148209
 2015,0,191.91651999999999,191,2200,0.11573284045191312,30.415573114650442,343.07560225927921,1.1416569429285390,-20.794538771536565,-6.1227516908031934,-14.671787080733374,10.535289415200060,35.656613504706371,-70.965810587971617,19.180231435646398,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.340104592020568,100.88699664834559,392.46011997868879,3.8003143462884879,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.3102912401851592,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.1415759154897418
 2015,0,191.93735000000001,191,2230,4.9562894231072144E-002,27.615053957929945,132.33846707875540,0.73160642768516426,-17.528495421829049,-1.7947173143739903,-15.733778107455057,0.59959584754193973,-57.731234084917027,-4.1993602942213411,-28.112654015026099,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004773333333333,100.50472606308476,370.19291148806121,3.2448841172478367,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.4034298114760748,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.5564078937612276
 2015,0,191.95818000000000,191,2300,2.9882086290725279E-002,27.556141266210091,124.70676149464214,0.86610576640835779,27.214496674194805,2.4011354710814072,24.813361203113399,3.7847362252597887,-1.2149065952755911,-45.263145693514652,-0.48840764972556733,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005253333333334,100.52289624301676,405.29676308109083,3.2337168284158464,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.3876815341893121,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-44.821197225309795
 2015,0,191.97900999999999,191,2330,7.9511630489055282E-002,28.130649370587719,145.05317034168274,1.6265161305319313,-8.2683700566343514,6.3643395500625211,-14.632709606696872,-6.8325986686404692,11.824352292078764,6.0844508206051433,4.6371437785200467,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005223333333333,100.51322912011173,384.55409551699978,3.3438842083223932,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.5375860690401799,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.2952305517363314
