TIMESTAMP,CO2_1_1_1,H2O_1_1_1,CH4_1_1_1,TAU_1_1_1,TAU_SSITC_TEST_1_1_1,H_1_1_1,H_SSITC_TEST_1_1_1,LE_1_1_1,LE_SSITC_TEST_1_1_1,FC_1_1_1,FC_SSITC_TEST_1_1_1,FCH4_1_1_1,FCH4_SSITC_TEST_1_1_1,WD_1_1_1,WS_1_1_1,WS_MAX_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,USTAR_1_1_1,MO_LENGTH_1_1_1,ZL_1_1_1,FETCH_MAX_1_1_1,FETCH_70_1_1_1,FETCH_80_1_1_1,FETCH_90_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1
[yyyymmddHHMMSS],[mmolCO2 mol-1],[mmolH2O mol-1],[nmolCH4 mol-1],[kg m-1 s-2],[#],[W m-2],[#],[W m-2],[#],[umolCO2 m-2 s-1],[#],[nmolCH4 m-2 s-1],[#],[Decimal degrees],[m s-1],[m s-1],[m s-1],[m s-1],[m s-1],[m s-1],[m],[#],[m],[m],[m],[m],[kPa],[%],[deg C],[hPa],[deg C],[deg C]
20150701000000,387.32769186635312,4.5120823050086667,1782.1435422600111,2.0862071984040387E-002,1,-2.4554634300191944,0,3.0884253867555809,0,1.6844426391016585,0,-3.6944787732205548,0,149.04894557907684,1.6868090207231532,3.2961069139764070,0.43725495738541759,0.31577605795526809,0.13439412897859310,0.13385932460249095,85.674169497098077,0.32273438029576174,288.24788660910212,2773.0000000000000,5146.0000000000000,-9999.,100.84997311452514,12.003916666666667,28.093138058625073,33.366422873696301,31.302948667738121,0.12330328760477850
20150701003000,385.64620463279539,4.5161734199117323,1774.0721280012151,1.7264008558215013E-002,2,-14.715623911071376,1,5.5472192134661533,1,9.8338606726685853,1,-1.3190426705808067,2,122.72745102128779,1.9983745788299563,4.5018858986316790,0.70633307704263570,0.36024852243261651,0.21129451429221252,0.12178080150973326,10.763543121347231,2.5688567127270594,545.78965269202729,4576.0000000000000,8166.0000000000000,-9999.,100.83680606543179,12.004110000000001,28.106190113620414,33.391704819827758,31.338759936862516,0.21900478538484403
20150701010000,389.77759195798268,4.3849379122782652,1798.2116707675946,0.10640713550617827,1,0.92553847438460812,2,65.522292282344551,1,12.979498052036869,0,-13.461587638165044,1,161.22090035864190,2.7056447577862826,6.0987631102224489,0.95542529756359951,0.75454923584437605,0.30328129721739439,0.30206224468536130,-2611.6132048781319,-1.0587325852217944E-002,251.70269701697154,460.19280660487863,550.73325462322759,689.45268240287828,100.84727621508380,12.004140000000000,27.602163255574283,32.424649398367080,30.312351317087973,0.44840089956229157
20150701013000,388.49527630806261,4.2876945618647770,1790.1116502015796,2.2691440665973499E-002,1,0.67249820046948172,1,-5.1197049007916100E-002,0,3.7178396336175611E-002,2,2.7781097923352562,2,171.52977025878118,1.8812539236739563,3.2225229779878335,0.41214461545238373,0.35045881247977789,0.16996608202671565,0.13941745056663371,-353.32304211060961,-7.8256996302392370E-002,345.71240781625210,1385.0000000000000,2028.0000000000000,3691.0000000000000,100.81782241620112,12.003996666666668,27.214043159697951,31.696748490963316,29.925253674401176,8.4252304635606748E-002
20150701020000,396.66664698373876,4.2082851712012603,1803.7568081106931,8.7200770328648286E-003,2,-0.96626612246496446,1,2.2707415974054737,1,1.0997450282677492,1,2.0824904950261121,1,180.22609339370700,1.5632003069662559,3.4614066298884820,0.55971034279339160,0.25398073265613780,0.10137054784378041,8.6402664843310842E-002,58.507005693572026,0.47259297706698083,527.27536602712132,5574.0000000000000,-9999.,-9999.,100.75972131284918,12.004156666666667,26.885319184883940,31.091315781264655,29.584780492994582,0.19534190508230034
20150701023000,395.52356320416885,4.1861582943925981,1795.9731258246063,4.7370989591401054E-003,2,0.49029929863201244,2,-7.1492758878692095,2,-0.15113212673804627,1,-1.0550064575793998,1,176.69541326821113,1.8281793307384557,3.3208244018167661,0.61736976877220529,0.40777716768988914,0.10568174824735693,6.3679614059013206E-002,-46.152251955983971,-0.59910402695777842,609.98233920290761,1849.0000000000000,2525.0000000000000,4083.0000000000000,100.73776519553073,12.004796666666667,26.790979705469567,30.919227062206232,29.391785668690943,0.32523160860928108
20150701030000,397.54210162016011,4.1386186719671558,1805.6021359293545,3.7178541867756722E-003,2,-0.13258386735369621,1,-2.3060442459753316,2,-0.20956919651192138,2,1.6087353249297169,1,192.01898605746825,1.5623539974028715,3.4344646579114113,0.46916802526186835,0.18242388432359849,7.7147899774128489E-002,5.6395711463555279E-002,118.54811235520029,0.23323863577982223,801.63614934812131,8141.0000000000000,-9999.,-9999.,100.73774562604807,12.004606666666668,26.597072498788179,30.568640311494498,29.146115173763690,0.10067390694518320
20150701033000,398.68703605046682,4.1031284260276175,1797.4828508301553,3.8640917576896676E-003,1,-0.34436401839045999,1,-3.9888523804027392,2,5.9208147471591449E-002,1,-2.3128710084007822,1,198.35049399272006,1.4554887813123725,2.4819592751175819,0.23235360123725896,0.20952323585119223,9.6331505234477019E-002,5.7488817617570721E-002,48.336028217850924,0.57203707088594857,895.19348101046035,-9999.,-9999.,-9999.,100.70393142458101,12.004743333333334,26.444953279122274,30.295937660387505,29.068472995758043,8.6789678625045469E-002
20150701040000,404.35791001470113,4.0709721790997593,1815.8754058588138,1.0714906230660093E-002,1,-4.9053414993738169,1,4.6774194156608182,1,6.6671762123802889,1,2.9812548646034771,1,235.25794147923230,1.6484341523918595,2.8629037567156299,0.34759887964472608,0.37062375932951658,0.13450167547015410,9.5715661488316950E-002,15.659242816968458,1.7657303308457724,610.60366144986961,5620.0000000000000,-9999.,-9999.,100.68975272346368,12.005043333333333,26.308701787341249,30.053422562646578,28.941384527842217,0.16237342627886611
