date,time,DOY,LOGGERPWR_1_1_1,LOGGERTEMP_1_1_1,RH_1_1_1,LWIN_1_1_1,LWOUT_1_1_1,PA_1_1_1,PPFD_1_1_1,PPFD_2_1_1,PPFD_3_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_2_1_1,RH_3_1_1,RH_4_1_1,RH_5_1_1,RH_6_1_1,RN_1_1_1,SHF_1_1_1,SHF1SENS_1_1_1,SHF_2_1_1,SHF2SENS_1_1_1,SHF_2_1_1,SHF3SENS_1_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SWIN_1_1_1,SWOUT_1_1_1,TA_1_1_1,TA_2_1_1,TA_3_1_1,TA_4_1_1,TA_5_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,WD_1_1_1,WS_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[%],[W/m^2],[W/m^2],[Pa],[µmol/m^2/s],[µmol/m^2/s],[µmol/m^2/s],[m],[W/m^2],[%],[%],[%],[%],[%],[W/m^2],[W/m^2],[OTHER],[W/m^2],[OTHER],[W/m^2],[OTHER],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[K],[K],[K],[K],[K],[K],[K],[K],[Degrees_past_North],[m/s]
2015-07-01,00:00,182.000,-9999.0,30.370000000000001,12.003916666666667,426.97050000000002,462.09036666666668,103367.83333333333,0.43303653333333331,4.2654750000000003,0.61181313333333331,0.0000000000000000,2.1830606666666665,92.015580000000000,90.870823333333334,68.131413333333327,68.457756666666668,68.692463333333336,-37.560736666666671,-5.2416676666666664,61.229999999999997,-5.4551366666666663,63.880000000000003,-2.5360640000000001,63.060000000000002,0.26076946666666667,0.48387493333333331,0.31316656666666665,-4.6037876666666664,-2.1628716666666667,299.64555666666672,299.98389566666668,323.04528000000005,321.10343000000000,320.44658666666669,302.77583333333337,302.93916666666667,303.51333333333338,334.92042828915265,1.8879903333333334
2015-07-01,00:30,182.020,-9999.0,30.090000000000000,12.004110000000001,424.69920000000002,460.65199999999999,103351.89999999999,0.50057433333333334,4.2866629999999999,0.60651606666666669,0.0000000000000000,2.1645203333333334,94.256739999999994,93.622730000000004,67.639763333333335,68.454103333333336,68.653940000000006,-38.079506666666667,-5.5827886666666666,61.229999999999997,-5.5922453333333335,63.880000000000003,-2.7272366666666668,63.060000000000002,0.26110556666666668,0.48385283333333334,0.31309713333333333,-4.6755003333333329,-2.5488909999999998,299.03180800000001,299.32984600000003,324.87578666666667,321.50875666666667,320.17903000000001,302.73750000000001,302.83666666666670,303.50000000000000,310.52330810232058,1.9418980000000001
2015-07-01,01:00,182.041,-9999.0,29.750000000000000,12.004140000000000,422.12046666666669,459.35926666666666,103365.23333333334,0.52441119999999997,4.3647960000000001,0.63962280000000005,0.0000000000000000,2.2029236666666665,90.931640000000002,88.387556666666669,67.750806666666662,67.983746666666661,67.959090000000003,-39.852866666666664,-6.1024153333333331,61.229999999999997,-5.9812926666666666,63.880000000000003,-3.0130006666666667,63.060000000000002,0.26196943333333333,0.48401113333333334,0.31304166666666666,-5.2271469999999995,-2.6131400000000000,300.37051666666667,300.79697333333337,319.53050666666672,317.60657666666668,316.25658000000004,302.59000000000003,302.70833333333337,303.47166666666669,329.71532363701948,3.1925226666666666
2015-07-01,01:30,182.062,-9999.0,29.520000000000000,12.003996666666668,424.48843333333332,456.31383333333332,103327.30000000000,0.51911416666666665,4.3290410000000001,0.65948683333333336,0.0000000000000000,2.1598856666666668,90.486156666666673,88.490570000000005,67.216836666666666,67.409953333333334,67.555840000000003,-34.283246666666663,-6.5259216666666671,61.229999999999997,-6.3661919999999999,63.880000000000003,-3.2971886666666665,63.060000000000002,0.25968883333333331,0.48342776666666665,0.31293880000000002,-4.3733219999999999,-1.9153549999999999,299.99682333333334,300.16850666666670,318.84952333333337,316.19281333333333,315.27160666666668,302.49666666666667,302.66000000000003,303.43333333333334,354.07081467048988,2.3375563333333331
2015-07-01,02:00,182.083,-9999.0,29.259999999999998,12.004156666666667,422.51453333333336,453.63516666666669,103249.80000000000,0.45025196666666667,4.1383466666666662,0.65816253333333330,0.0000000000000000,2.1016170000000001,92.342463333333328,90.898566666666667,66.573213333333328,67.020703333333330,67.273086666666671,-33.405193333333337,-7.1051213333333330,61.229999999999997,-6.8055003333333337,63.880000000000003,-3.6174906666666669,63.060000000000002,0.25983879999999998,0.48384726666666666,0.31318336666666663,-4.5259440000000000,-2.2413393333333334,298.19044333333335,298.35837733333335,322.56677666666667,318.80196000000001,317.29292666666669,302.39083333333338,302.64416666666671,303.37666666666667,14.803647413927013,1.8314933333333334
2015-07-01,02:30,182.104,-9999.0,28.949999999999999,12.004796666666667,427.35806666666667,452.90859999999998,103220.39999999999,0.53368126666666660,4.3012313333333330,0.62505590000000000,0.0000000000000000,2.1512783333333334,95.777493333333339,95.215386666666660,66.094953333333336,66.886906666666661,67.160996666666662,-27.164756666666666,-7.5959866666666667,61.229999999999997,-7.3289606666666662,63.880000000000003,-3.9703366666666668,63.060000000000002,0.26063333333333333,0.48341383333333332,0.31285556666666664,-4.0214953333333332,-2.4072273333333332,298.96630333333337,299.05640666666670,325.27756333333338,319.76886000000002,314.23086000000001,302.28333333333336,302.62750000000005,303.34833333333336,15.955498258798857,2.2056113333333336
2015-07-01,03:00,182.124,-9999.0,28.630000000000003,12.004606666666668,426.47329999999999,451.83760000000001,103219.16666666667,0.45687333333333330,4.2297206666666662,0.67405380000000004,0.0000000000000000,2.1426699999999999,96.432406666666665,95.829083333333330,65.890460000000004,66.834576666666663,66.867019999999997,-26.850366666666666,-7.8583946666666664,61.229999999999997,-7.7730373333333329,63.880000000000003,-4.3419753333333331,63.060000000000002,0.26106943333333332,0.48379996666666669,0.31305836666666664,-4.3340940000000003,-2.8480173333333334,298.75549333333333,298.87021333333337,325.65393333333338,317.02607000000000,313.28797666666668,302.22916666666669,302.56416666666672,303.29916666666668,27.442431365318395,1.9661416666666667
2015-07-01,03:30,182.145,-9999.0,28.390000000000001,12.004743333333334,421.66163333333333,450.80946666666665,103174.63333333333,0.52970830000000002,4.3025556666666667,0.67537796666666672,0.0000000000000000,2.1552509999999998,96.513069999999999,96.311743333333339,65.885733333333334,66.595720000000000,66.939830000000001,-30.813816666666668,-7.9909486666666663,61.229999999999997,-8.1247746666666671,63.880000000000003,-4.7022743333333334,63.060000000000002,0.26136660000000000,0.48311670000000001,0.31259446666666668,-4.5308479999999998,-2.8648696666666669,298.65550000000002,298.68303333333336,324.06917000000004,317.42792000000003,315.65034666666668,302.14333333333337,302.41166666666669,303.28833333333336,33.954914019251149,1.8879326666666667
2015-07-01,04:00,182.166,-9999.0,28.030000000000001,12.005043333333333,420.60616666666670,449.52929999999998,103153.93333333333,0.49527716666666666,4.3157973333333333,0.67140523333333335,0.0000000000000000,2.1598856666666664,97.133803333333333,95.999570000000006,65.700299999999999,66.393663333333336,66.825973333333337,-30.578530000000001,-8.2280563333333330,61.229999999999997,-8.3853126666666657,63.880000000000003,-5.0269856666666666,63.060000000000002,0.26135563333333334,0.48371660000000000,0.31245003333333332,-4.6865356666666669,-3.0312850000000000,298.35205666666667,298.55405000000002,325.37400333333335,319.63322333333338,317.80768333333339,301.98583333333335,302.33500000000004,303.26666666666671,67.325051463464106,1.7716966666666667
