year,month,day,hour,minute,CO_2_strg(umolm-2s-1)},H_2O_strg(mmolm-2s-1), H_strg (Wm-2),CO2_1(mmol/m3,CO2_2 mmol/m3,CO2_3(mmol/m3),CO2_4(mmol/m3),H2O_1(mmol/m3,H2O_2 mmol/m3,H2O_3(mmol/m3),H2O_4(mmol/m3),TA_1(¡C),TA_2(¡C),TA_3(¡C),TA_4(¡C)
2014,2,28,21,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,2,28,21,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,2,28,22,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,2,28,22,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,2,28,23,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,2,28,23,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,3,1,0,0,-0.53625,0.059203,-1.4289,14.931,15.048,15.282,15.421,1001.2,999.83,998.14,1002.1,24.465,24.042,23.99,23.732
2014,3,1,0,30,0.37436,0.082087,-4.5675,14.849,15.028,15.329,15.388,1005.4,1002.8,1003.1,1006.3,24.432,23.93,23.912,23.662
2014,3,1,1,0,2.4222,0.018184,-3.5407,14.877,15.037,15.336,15.549,1009.1,1008.9,1008,1013.1,24.294,23.622,23.572,23.364
2014,3,1,1,30,1.7661,-0.022691,-6.398,14.933,15.255,15.547,15.637,1013.6,1008.5,1006.8,1011,24.006,23.467,23.429,23.211
2014,3,1,2,0,3.8746,-0.13713,-7.5125,15.093,15.327,15.668,15.717,1011.4,1007.9,1004.4,1009.4,23.607,23.054,23.224,22.991
2014,3,1,2,30,3.7833,-0.15924,-1.5665,15.368,15.613,15.748,15.805,1006.7,996.31,995.08,1001.9,23.003,22.704,22.907,22.733
2014,3,1,3,0,-1.88,0.076177,2.7181,15.705,15.814,15.866,15.988,994.13,987.1,988.83,993.17,22.904,22.615,22.807,22.641
2014,3,1,3,30,-2.1162,0.1285,0.70773,15.505,15.679,15.945,16.059,1003.2,990.91,987.35,993.13,23.128,22.771,22.82,22.636
2014,3,1,4,0,1.0383,0.013001,-6.1952,15.346,15.541,15.842,16.072,1010.6,1001,992,997.67,23.156,22.825,22.85,22.605
2014,3,1,4,30,7.6434,-0.19152,-2.5709,15.49,15.598,15.776,16.011,1010.5,1002,995.29,997.1,22.607,22.508,22.746,22.546
2014,3,1,5,0,4.0135,-0.074341,0.70652,15.913,16.127,16.279,16.393,994.93,988.28,992.69,998.72,22.373,22.369,22.705,22.532
2014,3,1,5,30,-0.4646,0.085424,-0.37483,16.144,16.38,16.571,16.671,989.64,984.54,988.03,990.39,22.452,22.406,22.685,22.515
2014,3,1,6,0,-3.4674,-0.024868,-1.0299,16.111,16.338,16.521,16.831,996.82,990.31,988.8,991.93,22.467,22.386,22.629,22.448
2014,3,1,6,30,0.73627,-0.012968,-1.7813,15.946,16.08,16.352,16.473,995.73,988.28,986.76,992.36,22.409,22.335,22.58,22.419
2014,3,1,7,0,3.0471,-0.10566,-0.9074,16.025,16.163,16.225,16.431,994.8,987.15,987.14,991.94,22.238,22.257,22.591,22.408
2014,3,1,7,30,2.3829,0.074923,0.94326,16.221,16.346,16.487,16.474,985.24,979.82,988.2,991.06,22.199,22.208,22.558,22.367
2014,3,1,8,0,2.4587,0.19076,9.6455,16.292,16.568,16.597,16.656,989.04,988.53,985.26,987.95,22.2,22.312,22.651,22.468
2014,3,1,8,30,-9.4528,0.61152,18.886,16.522,16.605,16.911,16.862,1010.3,994.13,994.75,997.25,22.687,22.937,23.182,22.936
2014,3,1,9,0,-9.4714,0.15266,19.125,16.059,16.011,16.073,16.03,1045,1039.8,1024,1022.8,23.525,24.141,24.311,23.931
2014,3,1,9,30,-8.889,-0.12825,18.868,15.517,15.383,15.403,15.573,1042.9,1054.5,1044.5,1039.9,24.585,25.177,25.397,25.028
2014,3,1,10,0,-5.5956,-0.16789,21.028,14.979,14.834,14.811,14.892,1036.9,1039.6,1049.9,1040.8,25.615,26.165,26.479,26.129
2014,3,1,10,30,-1.5133,-0.23349,4.1287,14.613,14.478,14.49,14.611,1022.1,1033.2,1035.7,1033.3,26.654,27.257,27.797,27.589
2014,3,1,11,0,-1.5609,-0.5829,24.437,14.504,14.405,14.368,14.494,1005.6,1016.3,1034.5,1015.4,27.032,27.427,27.829,27.619
